Number,RW Name,Image,Thoth Name,Elemental,Element01,Element02,Colour,Astro,Planets,Signs,Gemstone,Herbs,Elder Futhark Runes,"Hebrew
Letter:","Meaning of
Letter Name:",Numerology,Numerology Key Words,keywords/0,keywords/1,keywords/2,keywords/3,Mythical/Spiritual
12,The Hanged Man,m12.jpg,The Hanged Man,Undine,Water,Water,Blue,Neptune,Neptune,,Moss Agate,"grape, ivy, marigold","Naudiz - Need, Distress, Adversity, Persevere, Inner Strength",Mem,Water,12 = 1 + 2 = 3,"expression, productivity, output",enlightenment,sacrifice,perspective,suspension,The Crucified Christ. Isaac as a sacrifice. Prometheus bound. Jonah and the whale. Lazarus. Any hanged or sacrificed god. Judas.
13,Death,m13.jpg,Death,Undine,Water,,Blue-Green,Scorpio,,Scorpio,Obsidian,"blackberry, bramble, periwinkle","Eihwaz-Yew, Evergreen, Initiation, Transformation, Immortality",Nun,Fish,13 = 1 + 3 = 4,"stability, persistence",ending,conclusion,transition,passage,Christ in the tomb. Hades. Hypnos. Thanatos. Stories of journeys into the underworld.
14,Temperance,m14.jpg,Art,Salamander,Fire,,Blue,Sagittarius,,Sagittarius,Kunzite,"agrimony, foxglove, valerian","Ehwaz - Horse, Trust, Teamwork, Partnership,",Samekh,Prop,14 = 1 + 4 = 5,"catalyst, instability, confrontation",blending,synthesis,mediation,combination,"The angel seen here may be the goddess Iris. By extension, priests, priesthoods, or the transfigured Christ."
15,The Devil,m15.jpg,The Devil,Gnome,Earth,,Blue-Violet,Capricorn,,Capricorn,Tekite,"carnation, mugwort, rosemary","Thurisaz - Giants, Thorn, Force, Conflict, Defence, Violence,",Ayin,Eye,15 = 1 + 5 = 6,"adjustment, collaboration",shadow,materialism,bondage,delusion,"The Biblical Satan, certainly. Fallen angels, including Lucifer. Bacchus and Pan. Tempters and serpents of every stripe."
16,The Tower,m16.jpg,The Tower,Salamander,Fire,,Red,Mars,Mars,,Lodestone,"heather, honeysuckle, yarrow","Hagalaz - Hail, Disruption, Extreme Force, Changeof Plans",Peh,Mouth,16 = 1 + 6 = 7,"psychology, imagination, inner work",demolition,upheaval,deconstruction,disaster,The Tower of Babel. The destruction of Sodom and Gomorrah. Shiva's destructive dance. The lightning of Zeus and Thor.
17,The Star,m17.jpg,The Star,Sylph,Air,,Violet,Aquarius,,Aquarius,Moldavite,"rose, bluebell, daisy","Wunjo - Joy, Wellbeing, Fullfillment, Happiness",Tzaddi,Fish Hook,17 = 1 + 7 = 8,"action, movement, swiftness",hope,optimism,openness,certainty,The star that guided the Magi. Aphrodite. Venus. The Pleiades. Moses bringing forth water from the rock.
18,The Moon,m18.jpg,The Moon,Undine,Water,,Blue,Pisces,,Pisces,Moonstone,"eucalyptus, sandalwood, lotus","Laguz - Water, Flow, Depths, Reflection, Self,",Qof,Back of Head,18 = 1 + 8 = 9,"fullness, readiness, ripeness",mystery,fantasy,imagination,dreams,"Kali, the dark-skinned divine mother associated with time, the eternal night, and the female principle. Hecate, goddess of night and darkness, who, like Anubis, assists others in their travels to the underworld. "
19,The Sun,m19.jpg,The Sun,Salamander,Fire,,Orange,The Sun,The Sun,,Amber,"lavender, geranium, marigold","Sowelo - Sun, Spiritual Power, Enlightenment, Growth, Success,",Resh,Head,19 = 1 + 9 = 10,"completion, renewal",joy,brilliance,validation,attention,"God the Father. Sun gods, including Ra, Apollo, and Helios. The moment of baptism. Claiming a new faith as your own."
20,Judgement,m20.jpg,Aon,Salamander,Fire,Fire,Red,,,,Amethyst,"marigold, violet","Dagaz - Day Break, Illumination, Enlightenment, Inspiration",Shin,Tooth,20 = 2 + 0 = 2,"division, duality",revival,renewal,resurrection,evaluation,"The resurrected Christ. The Last Judgment of Revelation. The phoenix, which rises to new life from its own ashes."
21,The World,m21.jpg,The Universe,Gnome,Earth,,Blue-Violet,Saturn,Saturn,,Turquoise,"rose, bay laurel, ivy","Othala -Homecoming, Ancestral Lands, Bloodlines",Taw,Cross or Mark,21 = 2 + 1 = 3,"expression, result",wholeness,integration,totality,completeness,The ascended Christ. The Buddha attaining enlightenment. The alpha and the omega. The completion of the alchemist's great work.
1,Ace of Cups,c01.jpg,The Root of the Powers of Water,Undine,Water,,Blue,"Cancer, Scorpio, Pisces",,,,,"FEHU represents Livestock. It symbolizes Wealth, Abundance, Success, Security, Fertility.",,,1,"The Origin: the starting point, the seed, opportunity",intuition,spirituality,affection,motivation,
2,Two of Cups,c02.jpg,Love,Undine,Water,,Blue,Venus in Cancer,Venus,Cancer,,,,,,2,"The Other: duality, division, debate",union,attraction,combination,affection,
3,Three of Cups,c03.jpg,Abundance,Undine,Water,,Blue,Mercury in Cancer,Mercury,Cancer,,,,,,3,"The Result: expression, productivity, output",celebration,expression,community,friendliness,
4,Four of Cups,c04.jpg,Luxury,Undine,Water,,Blue,Moon in Cancer,The Moon,Cancer,,,,,,4,"The Status Quo: stability, equality, persistence",boredom,listlessness,lethargy,stability,
5,Five of Cups,c05.jpg,Disappointment,Undine,Water,,Blue,Mars in Scorpio,Mars,Scorpio,,,,,,5,"The Catalyst: instability, resistance, confrontation",loss,despair,re-evaluation,regret,
6,Six of Cups,c06.jpg,Pleasure,Undine,Water,,Blue,Sun in Scorpio,The Sun,Scorpio,,,,,,6,"The Adjustment: cooperation, collaboration, interaction",charity,sharing,sacrifice,cooperation,
7,Seven of Cups,c07.jpg,Debauchary,Undine,Water,,Blue,Venus in Scorpio,Venus,Scorpio,,,,,,7,"The Motive: imagination, inner work, psychology",imagination,dreams,illusions,goals,
8,Eight of Cups,c08.jpg,Indolence,Undine,Water,,Blue,Saturn in Pisces,Venus,Pices,,,,,,8,"The Action: movement, outer work, swiftness",longing,dissatisfaction,quest,departure,
9,Nine of Cups,c09.jpg,Happiness,Undine,Water,,Blue,Jupiter in Pisces,Jupiter,Pices,,,,,,9,"The Completion: fullness, readiness, ripeness",satisfaction,sensuality,luxury,pleasure,
10,Ten of Cups,c10.jpg,Saitiety,Undine,Water,,Blue,Mars in Pisces,Mars,Pices,,,,,,10,"The End: finality, completion, exhaustion",joy,fulfillment,overwhelming emotion,giddiness,
11,Page of Cups,c11.jpg,Princess of Cups,Undine,Water,Earth of Water.,,,,,,,,,,,,enthusiasm,first impressions,romanticism,superficiality,
12,Knight of Cups,c12.jpg,Knight of Cups,Undine,Water,Air of Water.,,,,,,,,,,,,fervor,zeal,moodiness,illumination,
13,Queen of Cups,c13.jpg,Queen of Cups,Undine,Water,Water of Water.,,,,,,,,,,,,insightfulness,spirituality,compassion,empathy,
14,King of Cups,c14.jpg,Prince of Cuos,Undine,Water,Fire of Water.,,,,,,,,,,,,wisdom,diplomacy,restraint,composure,
1,Ace of Swords,s01.jpg,The Root of the Powers of Air,Sylph,Air,,Yellow,"Libra, Aquarius, Gemini",,,,,,,,1,"The Origin: the starting point, the seed, opportunity",logic,objectivity,intellect,choice,
2,Two of Swords,s02.jpg,Peace,Sylph,Air,,Yellow,Moon in Libra,The Moon,Libra,,,,,,2,"The Other: duality, division, debate",denial,debate,impasse,truce,
3,Three of Swords,s03.jpg,Sorrow,Sylph,Air,,Yellow,Saturn in Libra,Saturn,Libra,,,,,,3,"The Result: expression, productivity, output",variance,difference,dissatisfaction,heartache,
4,Four of Swords,s04.jpg,Truce,Sylph,Air,,Yellow,Jupiter in Libra,Jupiter,Libra,,,,,,4,"The Status Quo: stability, equality, persistence",meditation,contemplation,perspective,mindset,
5,Five of Swords,s05.jpg,Defeat,Sylph,Air,,Yellow,Venus in Aquarius,Venus,Aquarius,,,,,,5,"The Catalyst: instability, resistance, confrontation",selfishness,hostility,irrationality,self-preservation,
6,Six of Swords,s06.jpg,Science,Sylph,Air,,Yellow,Mercury in Aquarius,Mercury,Aquarius,,,,,,6,"The Adjustment: cooperation, collaboration, interaction",adaptation,adjustments,science,travel,
7,Seven of Swords,s07.jpg,Futility,Sylph,Air,,Yellow,Moon in Aquarius,The Moon,Aquarius,,,,,,7,"The Motive: imagination, inner work, psychology",dishonesty,presumption,sneakiness,assumptions,
8,Eight of Swords,s08.jpg,Interferance,Sylph,Air,,Yellow,Jupiter in Gemini,Jupiter,Gemini,,,,,,8,"The Action: movement, outer work, swiftness",restriction,limitation,confinement,helplessness,
9,Nine of Swords,s09.jpg,Cruelty,Sylph,Air,,Yellow,Mars in Gemini,Mars,Gemini,,,,,,9,"The Completion: fullness, readiness, ripeness",remorse,worry,distraught,conclusion,
10,Ten of Swords,s10.jpg,Ruin,Sylph,Air,,Yellow,Sun in Gemini,The Sun,Gemini,,,,,,10,"The End: finality, completion, exhaustion",exhaustion,ruin,disaster,stamina,
11,Page of Swords,s11.jpg,Princess of Swords,Sylph,Air,Earth of Air.,,,,,,,,,,,,student,apprentice,scholarship,information,
12,Knight of Swords,s12.jpg,Knight of Swords,Sylph,Air,Air of Air.,,,,,,,,,,,,bluntness,intelligence,incisiveness,investigation,
13,Queen of Swords,s13.jpg,Queen of Swords,Sylph,Air,Water of Air.,,,,,,,,,,,,grace,skill,wit,charm,
14,King of Swords,s14.jpg,Prince of Swords,Sylph,Air,Fire of Air.,,,,,,,,,,,,genius,expertise,decision,verdict,
1,Ace of Wands,w01.jpg,The Root of the Powers of Fire,Salamander,Fire,,Orange,"Aries, Leo, Sagittarius",,,,,,,,1,"The Origin: the starting point, the seed, opportunity",desire,inspiration,vision,creation,
2,Two of Wands,w02.jpg,Dominion,Salamander,Fire,,Orange,Mars in Aries,Mars,,,,,,,2,"The Other: division, debate, duality",conflict,decision,option,individuality,
3,Three of Wands,w03.jpg,Virtue,Salamander,Fire,,Orange,Sun in Aries,The Sun,Aries,,,,,,3,"The Result: expression, productivity, output",implementation,action,exploration,,
4,Four of Wands,w04.jpg,Completion,Salamander,Fire,,Orange,Venus in Aries,Venus,Aries,,,,,,4,"The Status Quo: stability, equality, persistence",celebration,jubilation,community,teamwork,
5,Five of Wands,w05.jpg,Stife,Salamander,Fire,,Orange,Saturn in Leo,Saturn,Aries,,,,,,5,"The Catalyst: instability, resistance, confrontation",confrontation,disruption,distinction,objection,
6,Six of Wands,w06.jpg,Victory,Salamander,Fire,,Orange,Jupiter in Leo,Jupiter,Aries,,,,,,6,"The Adjustment: cooperation, collaboration, interaction",victory,achievement,success,triumph,
7,Seven of Wands,w07.jpg,Valour,Salamander,Fire,,Orange,Mars in Leo,Mars,Leo,,,,,,7,"The Motive: imagination, inner work, psychology",bravery,resolve,determination,,
8,Eight of Wands,w08.jpg,Swiftness,Salamander,Fire,,Orange,Mercury in Sagittarius,Mercury,Leo,,,,,,8,"The Action: movement, outer work, swiftness",speed,swiftness,responsiveness,change,
9,Nine of Wands,w09.jpg,Strength,Salamander,Fire,,Orange,Moon in Sagittarius,The Moon,Leo,,,,,,9,"The Completion: fullness, readiness, ripeness",toughness,persistence,stamina,loyalty,
10,Ten of Wands,w10.jpg,Oppression,Salamander,Fire,,Orange,Saturn in Sagittarius,Sagittarius,Sagittarius,,,,,,10,"The End: finality, completion, exhaustion",exhaustion,resistance,burden,oppression,
11,Page of Wands,w11.jpg,Princess of Wands,Salamander,Fire,Earth of Fire.,,,,,,,,,,,,enthusiasm,eagerness,confidence,validation,
12,Knight of Wands,w12.jpg,Knight of Wands,Salamander,Fire,Air of Fire.,,,,,,,,,,,,boldness,bravado,passion,persuasion,
13,Queen of Wands,w13.jpg,Queen of Wands,Salamander,Fire,Water of Fire.,,,,,,,,,,,,attention,attraction,unification,collaboration,
14,King of Wands,w14.jpg,Prince of Wands,Salamander,Fire,Fire of Fire,,,,,,,,,,,,creativity,ingenuity,achievement,direction,
1,Ace of Pentacles,p01.jpg,The Root of the Powers of Earth,Gnome,Earth,,Green,"Capricorn, Taurus, Virgo",,,,,,,,1,"The Origin: the starting point, the seed, opportunity",health,wealth,practicality,receiving,
2,Two of Pentacles,p02.jpg,Change,Gnome,Earth,,Green,Jupiter in Capricorn,Jupiter,Capricorn,,,,,,2,"The Other: duality, division, debate",evaluation,decision,budgeting,diagnosis,
3,Three of Pentacles,p03.jpg,Works,Gnome,Earth,,Green,Mars in Capricorn,Mars,Capricorn,,,,,,3,"The Result: expression, productivity, output",expression,production,work,contribution,
4,Four of Pentacles,p04.jpg,Power,Gnome,Earth,,Green,Sun in Capricorn,The Sun,Capricorn,,,,,,4,"The Status Quo: stability, equality, persistence",protection,conservation,preservation,safety,
5,Five of Pentacles,p05.jpg,Worry,Gnome,Earth,,Green,Mercury in Taurus,Mercury,Taurus,,,,,,5,"The Catalyst: instability, resistance, confrontation",poverty,destitution,need,crisis,
6,Six of Pentacles,p06.jpg,Success,Gnome,Earth,,Green,Moon in Taurus,The Moon,Taurus,,,,,,6,"The Adjustment: cooperation, collaboration, interaction",charity,fairness,cooperation,sharing,
7,Seven of Pentacles,p07.jpg,Failure,Gnome,Earth,,Green,Saturn in Taurus,Saturn,Taurus,,,,,,7,"The Motive: imagination, inner work, psychology",assessment,evaluation,re-evaluation,reflection,
8,Eight of Pentacles,p08.jpg,Prudence,Gnome,Earth,,Green,Sun in Virgo,The Sun,Virgo,,,,,,8,"The Action: movement, outer work, swiftness",effort,work diligence,skill,,
9,Nine of Pentacles,p09.jpg,Gain,Gnome,Earth,,Green,Venus in Virgo,Venus,Virgo,,,,,,9,"The Completion: fullness, readiness, ripeness",training,discipline,confidence,enough,
10,Ten of Pentacles,p10.jpg,Wealth,Gnome,Earth,,Green,Mercury in Virgo,Mercury,Virgo,,,,,,10,"The End: finality, completion, exhaustion",wealth,abundance,acquisition,greed,
11,Page of Pentacles,p11.jpg,Princess of Pentacles,Gnome,Earth,Earth of Earth.,,,,,,,,,,,,practicality,prosperity,learning,growth,
12,Knight of Pentacles,p12.jpg,Knight of Pentacles,Gnome,Earth,Air of Earth.,,,,,,,,,,,,caution,focus,realism,invention,
13,Queen of Pentacles,p13.jpg,Queen of Pentacles,Gnome,Earth,Water of Earth.,,,,,,,,,,,,luxury,comfort,resourcefulness,generosity,
14,King of Pentacles,p14.jpg,Prince of Pentacles,Gnome,Earth,Fire of Earth.,,,,,,,,,,,,stability,dependability,confidence,intervention,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Elemental,,,,,,,,,,Numerology,,,,,,
,,,,,,Air,,,,,,,,,,0 (off the scale; pure potential),,,,,,
,,,,,,The Sun/Mercury,,,,,,,,,,"1 (origins, unity, seeds)",,,,,,
,,,,,,The Moon,,,,,,,,,,"2 (division, debate, duality)",,,,,,
,,,,,,Venus,,,,,,,,,,"3 (expression, productivity, output)",,,,,,
,,,,,,Mars/Aries,,,,,,,,,,"4 (stability, equality, persistence)",,,,,,
,,,,,,Taurus/Earth,,,,,,,,,,"5 (instability, resistance, confrontation, evolution)",,,,,,
,,,,,,Gemini,,,,,,,,,,"6 (cooperation, collaboration, interaction)",,,,,,
,,,,,,Cancer,,,,,,,,,,"7 (imagination, inner work, psychology)",,,,,,
,,,,,,Libra or Leo,,,,,,,,,,"8 (movement, work) or 11 = 1 + 1 = 2 (debate, duality)",,,,,,
,,,,,,Virgo,,,,,,,,,,"9 (fullness, readiness, ripeness)",,,,,,
,,,,,,Jupiter,,,,,,,,,,"10 (finality, completion) and 10 = 1 + 0 = 1 (seed, opportunity)",,,,,,
,,,,,,Leo or Libra,,,,,,,,,,"11 = 1 + 1 = 2 (debate, duality) or 8 (movement, outer work)",,,,,,
,,,,,,Water,,,,,,,,,,"12 = 1 + 2 = 3 (expression, productivity, output)",,,,,,
,,,,,,Scorpio,,,,,,,,,,"13 = 1 + 3 = 4 (stability, persistence)",,,,,,
,,,,,,Sagittarius,,,,,,,,,,"14 = 1 + 4 = 5 (catalyst, instability, confrontation)",,,,,,
,,,,,,Capricorn,,,,,,,,,,"15 = 1 + 5 = 6 (adjustment, collaboration)",,,,,,
,,,,,,Mars,,,,,,,,,,"16 = 1 + 6 = 7 (psychology, imagination, inner work)",,,,,,
,,,,,,Aquarius,,,,,,,,,,"17 = 1 + 7 = 8 (action, movement, swiftness)",,,,,,
,,,,,,Pisces,,,,,,,,,,"18 = 1 + 8 = 9 (fullness, readiness, ripeness)",,,,,,
,,,,,,The Sun,,,,,,,,,,"19 = 1 + 9 = 10 (completion, exhaustion) 1 + 0 = 1 (starting point, opportunity)",,,,,,
,,,,,,Fire,,,,,,,,,,"20 = 2 + 0 = 2 (division, duality)",,,,,,
,,,,,,Saturn,,,,,,,,,,"21 = 2 + 1 = 3 (expression, result)",,,,,,
,,,,,,,,,,,,,,,,"1 (The Origin: the starting point, the seed, opportunity)",,,,,,
,,,,,,,,,,,,,,,,"2 (The Other: duality, division, debate)",,,,,,
,,,,,,,,,,,,,,,,"3 (The Result: expression, productivity, output)",,,,,,
,,,,,,,,,,,,,,,,"4 (The Status Quo: stability, equality, persistence)",,,,,,
,,,,,,,,,,,,,,,,"5 (The Catalyst: instability, resistance, confrontation)",,,,,,
,,,,,,,,,,,,,,,,"6 (The Adjustment: cooperation, collaboration, interaction)",,,,,,
,,,,,,,,,,,,,,,,"7 (The Motive: imagination, inner work, psychology)",,,,,,
,,,,,,,,,,,,,,,,"8 (The Action: movement, outer work, swiftness)",,,,,,
,,,,,,,,,,,,,,,,"9 (The Completion: fullness, readiness, ripeness)",,,,,,
,,,,,,,,,,,,,,,,"10 (The End: finality, completion, exhaustion)",,,,,,
,,,,,,Earth of Water.,,,,,,,,,,,,,,,,
,,,,,,Air of Water.,,,,,,,,,,,,,,,,
,,,,,,Water of Water.,,,,,,,,,,,,,,,,
,,,,,,Fire of Water.,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,"1 (The Origin: the starting point, the seed, opportunity)",,,,,,
,,,,,,,,,,,,,,,,"2 (The Other: duality, division, debate)",,,,,,
,,,,,,,,,,,,,,,,"3 (The Result: expression, productivity, output)",,,,,,
,,,,,,,,,,,,,,,,"4 (The Status Quo: stability, equality, persistence)",,,,,,
,,,,,,,,,,,,,,,,"5 (The Catalyst: instability, resistance, confrontation)",,,,,,
,,,,,,,,,,,,,,,,"6 (The Adjustment: cooperation, collaboration, interaction)",,,,,,
,,,,,,,,,,,,,,,,"7 (The Motive: imagination, inner work, psychology)",,,,,,
,,,,,,,,,,,,,,,,"8 (The Action: movement, outer work, swiftness)",,,,,,
,,,,,,,,,,,,,,,,"9 (The Completion: fullness, readiness, ripeness)",,,,,,
,,,,,,,,,,,,,,,,"10 (The End: finality, completion, exhaustion)",,,,,,
,,,,,,Earth of Air.,,,,,,,,,,,,,,,,
,,,,,,Air of Air.,,,,,,,,,,,,,,,,
,,,,,,Water of Air.,,,,,,,,,,,,,,,,
,,,,,,Fire of Air.,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,"1 (The Origin: the starting point, the seed, opportunity)",,,,,,
,,,,,,,,,,,,,,,,"2 (The Other: division, debate, duality)",,,,,,
,,,,,,,,,,,,,,,,"3 (The Result: expression, productivity, output)",,,,,,
,,,,,,,,,,,,,,,,"4 (The Status Quo: stability, equality, persistence)",,,,,,
,,,,,,,,,,,,,,,,"5 (The Catalyst: instability, resistance, confrontation)",,,,,,
,,,,,,,,,,,,,,,,"6 (The Adjustment: cooperation, collaboration, interaction)",,,,,,
,,,,,,,,,,,,,,,,"7 (The Motive: imagination, inner work, psychology)",,,,,,
,,,,,,,,,,,,,,,,"8 (The Action: movement, outer work, swiftness)",,,,,,
,,,,,,,,,,,,,,,,"9 (The Completion: fullness, readiness, ripeness)",,,,,,
,,,,,,,,,,,,,,,,"10 (The End: finality, completion, exhaustion)",,,,,,
,,,,,,Earth of Fire.,,,,,,,,,,,,,,,,
,,,,,,Air of Fire.,,,,,,,,,,,,,,,,
,,,,,,Water of Fire.,,,,,,,,,,,,,,,,
,,,,,,Fire of Fire,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,"1 (The Origin: the starting point, the seed, opportunity)",,,,,,
,,,,,,,,,,,,,,,,"2 (The Other: duality, division, debate)",,,,,,
,,,,,,,,,,,,,,,,"3 (The Result: expression, productivity, output)",,,,,,
,,,,,,,,,,,,,,,,"4 (The Status Quo: stability, equality, persistence)",,,,,,
,,,,,,,,,,,,,,,,"5 (The Catalyst: instability, resistance, confrontation)",,,,,,
,,,,,,,,,,,,,,,,"6 (The Adjustment: cooperation, collaboration, interaction)",,,,,,
,,,,,,,,,,,,,,,,"7 (The Motive: imagination, inner work, psychology)",,,,,,
,,,,,,,,,,,,,,,,"8 (The Action: movement, outer work, swiftness)",,,,,,
,,,,,,,,,,,,,,,,"9 (The Completion: fullness, readiness, ripeness)",,,,,,
,,,,,,,,,,,,,,,,"10 (The End: finality, completion, exhaustion)",,,,,,
,,,,,,Earth of Earth.,,,,,,,,,,,,,,,,
,,,,,,Air of Earth.,,,,,,,,,,,,,,,,
,,,,,,Water of Earth.,,,,,,,,,,,,,,,,
,,,,,,Fire of Earth.,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Elemental,,,,,,,,,,Numerology,,,,,,
,,,,,,Air,,,,,,,,,,0 (off the scale; pure potential),,,,,,
,,,,,,The Sun/Mercury,,,,,,,,,,"1 (origins, unity, seeds)",,,,,,
,,,,,,The Moon,,,,,,,,,,"2 (division, debate, duality)",,,,,,
,,,,,,Venus,,,,,,,,,,"3 (expression, productivity, output)",,,,,,
,,,,,,Mars/Aries,,,,,,,,,,"4 (stability, equality, persistence)",,,,,,
,,,,,,Taurus/Earth,,,,,,,,,,"5 (instability, resistance, confrontation, evolution)",,,,,,
,,,,,,Gemini,,,,,,,,,,"6 (cooperation, collaboration, interaction)",,,,,,
,,,,,,Cancer,,,,,,,,,,"7 (imagination, inner work, psychology)",,,,,,
